case_id,n_voters,c1,c3,c5,max_block,n_block_holders,ss_max,ss_controlled,ss_top1,n_voters_in_ss,taxonomy,controller_type
bill_3094,387,0.003745318352059925,0.011235955056179775,0.018726591760299626,0.003745318352059925,0,0.0,False,0.0,50,widely_held_no_block,retail
bill_3430,523,0.0024367956137678953,0.007310386841303686,0.012183978068839477,0.0024367956137678953,0,0.0,False,0.0,50,widely_held_no_block,retail
bill_3462,444,0.00234192037470726,0.00702576112412178,0.011709601873536299,0.00234192037470726,0,0.0,False,0.0,50,widely_held_no_block,retail
bill_3475,611,0.0021413276231263384,0.006423982869379015,0.010706638115631693,0.0021413276231263384,0,0.0,False,0.0,50,widely_held_no_block,retail
bill_3504,595,0.0021303792074989347,0.006391137622496804,0.010651896037494673,0.0021303792074989347,0,0.0,False,0.0,50,widely_held_no_block,retail
bill_3510,981,0.0022379375167845316,0.006713812550353595,0.011189687583922657,0.0022379375167845316,0,0.0,False,0.0,50,widely_held_no_block,retail
bill_3511,1097,0.002363268062120189,0.0070898041863605675,0.011816340310600946,0.002363268062120189,0,0.0,False,0.0,50,widely_held_no_block,retail
bill_3556,47,0.02127659574468085,0.06382978723404255,0.10638297872340426,0.02127659574468085,0,0.0232,False,0.0227,47,widely_held_no_block,retail
bill_3600,483,0.002135231316725979,0.006405693950177937,0.010676156583629894,0.002135231316725979,0,0.0,False,0.0,50,widely_held_no_block,retail
bill_3623,54,0.018518518518518517,0.05555555555555555,0.09259259259259259,0.018518518518518517,0,0.0211,False,0.0182,50,widely_held_no_block,retail
bill_3673,490,0.0020408163265306124,0.006122448979591837,0.010204081632653062,0.0020408163265306124,0,0.0,False,0.0,50,widely_held_no_block,retail
bill_3674,625,0.0017777777777777779,0.005333333333333334,0.008888888888888889,0.0017777777777777779,0,0.0,False,0.0,50,widely_held_no_block,retail
bill_3681,465,0.002150537634408602,0.0064516129032258064,0.010752688172043012,0.002150537634408602,0,0.0,False,0.0,50,widely_held_no_block,retail
bill_3701,579,0.002156721782890007,0.006470165348670022,0.010783608914450035,0.002156721782890007,0,0.0,False,0.0,50,widely_held_no_block,retail
bill_3703,448,0.002232142857142857,0.006696428571428571,0.011160714285714284,0.002232142857142857,0,0.0,False,0.0,50,widely_held_no_block,retail
bill_3727,384,0.004975124378109453,0.014925373134328358,0.02487562189054726,0.004975124378109453,0,0.0,False,0.0,50,widely_held_no_block,retail
bill_3728,171,0.005847953216374269,0.017543859649122806,0.029239766081871343,0.005847953216374269,0,0.0,False,0.0,50,widely_held_no_block,retail
bill_3755,622,0.002197265625,0.006591796875,0.010986328125,0.002197265625,0,0.0,False,0.0,50,widely_held_no_block,retail
bill_3774,629,0.0019727403156384504,0.005918220946915352,0.009863701578192252,0.0019727403156384504,0,0.0,False,0.0,50,widely_held_no_block,retail
bill_3777,1104,0.0021141649048625794,0.006078224101479916,0.009778012684989429,0.0021141649048625794,0,0.0,False,0.0,50,widely_held_no_block,retail
bill_3795,573,0.0017452006980802793,0.005235602094240838,0.008726003490401396,0.0017452006980802793,0,0.0,False,0.0,50,widely_held_no_block,retail
bill_3842,463,0.002311604253351826,0.006934812760055479,0.01155802126675913,0.002311604253351826,0,0.0,False,0.0,50,widely_held_no_block,retail
bill_3879,583,0.0023715415019762848,0.007114624505928854,0.011857707509881424,0.0023715415019762848,0,0.0,False,0.0,50,widely_held_no_block,retail
bill_3900,270,0.003703703703703704,0.011111111111111112,0.018518518518518517,0.003703703703703704,0,0.0,False,0.0,50,widely_held_no_block,retail
bill_3927,105,0.009523809523809525,0.028571428571428574,0.04761904761904762,0.009523809523809525,0,0.0,False,0.0,50,widely_held_no_block,retail
bill_3938,583,0.0020540910647038686,0.006162273194111606,0.010270455323519343,0.0020540910647038686,0,0.0,False,0.0,50,widely_held_no_block,retail
bill_3968,494,0.0020607934054611026,0.006182380216383308,0.010303967027305513,0.0020607934054611026,0,0.0,False,0.0,50,widely_held_no_block,retail
bill_3982,1077,0.0019748653500897668,0.0059245960502693,0.009874326750448834,0.0019748653500897668,0,0.0,False,0.0,50,widely_held_no_block,retail
bill_4002,603,0.0021431633090441492,0.006429489927132447,0.010715816545220747,0.0021431633090441492,0,0.0,False,0.0,50,widely_held_no_block,retail
bill_4004,614,0.002041649652919559,0.006124948958758677,0.010208248264597795,0.002041649652919559,0,0.0,False,0.0,50,widely_held_no_block,retail
bill_4021,169,0.005917159763313609,0.01775147928994083,0.029585798816568046,0.005917159763313609,0,0.0,False,0.0,50,widely_held_no_block,retail
bill_4022,975,0.0020801553182637636,0.006240465954791291,0.010400776591318817,0.0020801553182637636,0,0.0,False,0.0,50,widely_held_no_block,retail
bill_4030,503,0.002002002002002002,0.006006006006006006,0.01001001001001001,0.002002002002002002,0,0.0,False,0.0,50,widely_held_no_block,retail
bill_4034,443,0.0024529844644317253,0.007358953393295176,0.012264922322158627,0.0024529844644317253,0,0.0,False,0.0,50,widely_held_no_block,retail
bill_4042,976,0.0021208008143875127,0.0063624024431625376,0.010604004071937564,0.0021208008143875127,0,0.0,False,0.0,50,widely_held_no_block,retail
bill_4046,592,0.001998001998001998,0.005994005994005994,0.00999000999000999,0.001998001998001998,0,0.0,False,0.0,50,widely_held_no_block,retail
bill_4049,200,0.005,0.015,0.025,0.005,0,0.0,False,0.0,50,widely_held_no_block,retail
bill_4059,604,0.0021929824561403508,0.006578947368421052,0.010964912280701754,0.0021929824561403508,0,0.0,False,0.0,50,widely_held_no_block,retail
bill_4065,1001,0.0018157058556513845,0.005447117566954153,0.009078529278256923,0.0018157058556513845,0,0.0,False,0.0,50,widely_held_no_block,retail
bill_4075,555,0.0018018018018018018,0.005405405405405406,0.009009009009009009,0.0018018018018018018,0,0.0,False,0.0,50,widely_held_no_block,retail
bill_4080,939,0.0023137436372049976,0.006941230911614993,0.011568718186024987,0.0023137436372049976,0,0.0,False,0.0,50,widely_held_no_block,retail
bill_4083,924,0.0018782870022539444,0.005634861006761833,0.009391435011269721,0.0018782870022539444,0,0.0,False,0.0,50,widely_held_no_block,retail
