case_id,n_voters,c1,c3,c5,max_block,n_block_holders,ss_max,ss_controlled,ss_top1,n_voters_in_ss,taxonomy,controller_type
case-arc-strategic-partnership-with,1854,0.27688206234862617,0.7155150511724231,0.9343018018682377,0.27688206234862617,5,0.2979,False,0.2979,50,widely_held_block,delegate_block
case-arc-update-risk-parameters,6360,0.38867322956603584,0.7953640819788252,0.9759453496050716,0.38867322956603584,5,0.496,False,0.496,50,widely_held_block,delegate_block
case-arc:-add-1inch-collateral,1942,0.5790724553671236,0.8903036084371475,0.9459518728726385,0.5790724553671236,3,1.0,True,1.0,50,controlled,whale_control
case-arc:-add-alusd,421,0.30457341923122655,0.5629772427481168,0.7303860678433605,0.30457341923122655,6,0.3856,False,0.3856,50,widely_held_block,delegate_block
case-arc:-add-collateral,2144,0.24804732434921217,0.5193677429429984,0.7205066032467408,0.24804732434921217,7,0.2974,False,0.2974,50,widely_held_block,delegate_block
case-arc:-add-fox-token-(shapeshift,329,0.9517419519997011,0.9737375651299678,0.9845778673532817,0.9517419519997011,1,1.0,True,1.0,50,controlled,whale_control
case-arc:-add-gno-aave,1654,0.3448659894477369,0.8606786414471788,0.9767564504545093,0.3448659894477369,4,0.3354,False,0.3354,50,widely_held_block,delegate_block
case-arc:-add-support-for-btc.b,1596,0.36756627730538227,0.822837263715587,0.9227164625750109,0.36756627730538227,4,0.3489,False,0.3489,50,widely_held_block,delegate_block
case-arc:-add-support-for-lusd,2019,0.3934573998348884,0.8849637345460528,0.9657546977969754,0.3934573998348884,4,0.3371,False,0.3371,50,widely_held_block,delegate_block
case-arc:-adding-multi-collateral-d,367,0.7524275152865284,0.9407985952829391,0.9839548673026484,0.7524275152865284,2,1.0,True,1.0,50,controlled,whale_control
case-arc:-avalanche-market-avax,165,0.2989362336122437,0.603610510217277,0.8547212181348288,0.2989362336122437,5,0.3485,False,0.3485,50,widely_held_block,delegate_block
case-arc:-extend-the-safety-module,2386,0.17867498831220405,0.4786788839401079,0.6609614769603124,0.17867498831220405,8,0.1948,False,0.1948,50,widely_held_block,delegate_block
case-arc:-improve-governance-discus,3632,0.1841966740564159,0.49855974828648364,0.7416657968048703,0.1841966740564159,6,0.1994,False,0.1979,50,widely_held_block,delegate_block
case-arc:-risk-parameter-updates-fo,1526,0.8628610919928567,0.9749969041231438,0.984368406170929,0.8628610919928567,2,1.0,True,1.0,50,controlled,whale_control
case-arc:-whitelist-connext-for,1542,0.33059452369909653,0.6570382416889966,0.8491184303128354,0.33059452369909653,6,0.403,False,0.403,50,widely_held_block,delegate_block
case-arfc]-activate-lusd-collateral,2992,0.23751333411904127,0.47423927852227,0.6386308712449287,0.23751333411904127,7,0.2714,False,0.2714,50,widely_held_block,delegate_block
case-asset-listing-framework-(marke,1555,0.6532742574668512,0.8998370624402817,0.9647279583621088,0.6532742574668512,4,1.0,True,1.0,50,controlled,whale_control
case-authorise-the-release-aave,6819,0.20793391771273897,0.5796709357498198,0.8623444588646738,0.20793391771273897,6,0.2195,False,0.2195,50,widely_held_block,delegate_block
case-authorizing-use-grace-sentinel,3740,0.11508489530694795,0.29016004980099097,0.42979387344766773,0.11508489530694795,6,0.128,False,0.128,50,widely_held_block,delegate_block
case-automation-the-slope2-paramete,173,0.3769026636234291,0.8384343061078288,0.9117210183840485,0.3769026636234291,3,0.3674,False,0.3674,50,widely_held_block,delegate_block
