case_id,n_voters,c1,c3,c5,max_block,n_block_holders,ss_max,ss_controlled,ss_top1,n_voters_in_ss,taxonomy,controller_type
EP6.10-select-providers-for-service-p,181,0.07164260154830139,0.18482037141144375,0.2829988558548661,0.07164260154830139,3,0.0779,False,0.0779,50,widely_held_block,delegate_block
EP6.11-collective-working-group-fundi,96,0.1326375401936874,0.3143766356559325,0.4516929667051576,0.1326375401936874,8,0.1466,False,0.1466,50,widely_held_block,delegate_block
EP6.14-proposal-form-the-openbox,181,0.07549004055613515,0.20505299600755056,0.3096614279208301,0.07549004055613515,6,0.0785,False,0.0785,50,widely_held_block,delegate_block
EP6.16-enhancing-ens-governance-with-,166,0.09279954417785932,0.2250519744710041,0.32271310058135566,0.09279954417785932,4,0.099,False,0.099,50,widely_held_block,delegate_block
EP6.2-election-new-director,289,0.09371494561999642,0.26926185433448324,0.4155361196300471,0.09371494561999642,8,0.09,False,0.0874,50,widely_held_block,delegate_block
EP6.2-endowment-expansion-(3rd-tranc,59,0.12722898959665876,0.31826938102890834,0.4663887012993288,0.12722898959665876,10,0.136,False,0.136,50,widely_held_block,delegate_block
EP6.20-reimbursement-for-eth.limo’s-l,68,0.13054584056239416,0.3346285168968435,0.49533899849645496,0.13054584056239416,8,0.1423,False,0.1423,50,widely_held_block,delegate_block
EP6.22-ens-contract-naming-season,108,0.14372968015230825,0.3121833360407293,0.4553511627196564,0.14372968015230825,6,0.1609,False,0.1609,50,widely_held_block,delegate_block
EP6.23-endowment-permissions-karpatke,89,0.15097490502450614,0.32792008901040937,0.4783048182640412,0.15097490502450614,6,0.1594,False,0.1594,50,widely_held_block,delegate_block
EP6.3-renew-service-provider-budget,227,0.06542854392120495,0.1695725944949005,0.2599525184669274,0.06542854392120495,3,0.0701,False,0.0701,50,widely_held_block,delegate_block
EP6.4-service-provider-season-vote,336,0.07007372923975425,0.16703542259463325,0.26301347171428524,0.07007372923975425,1,0.0747,False,0.0747,50,widely_held_block,delegate_block
EP6.5-service-provider-season-vote,231,0.07283482975117442,0.18080840693698527,0.2831312704681859,0.07283482975117442,5,0.0764,False,0.0764,50,widely_held_block,delegate_block
EP6.7-revoke-root-controller-role-fr,214,0.14286837030828406,0.3173451493634758,0.45458981333684606,0.14286837030828406,8,0.158,False,0.158,50,widely_held_block,delegate_block
EP7-execute,96,0.1454720599814107,0.35581627666716364,0.5341078156060926,0.1454720599814107,9,0.158,False,0.158,50,widely_held_block,delegate_block
EP7.1-2022-meta-governance,287,0.10543124091565645,0.263640747909662,0.40037427747080545,0.10543124091565645,7,0.1125,False,0.1125,50,widely_held_block,delegate_block
EP7.2-2022-ens,282,0.09779939974178786,0.25774204410405777,0.3978170727887853,0.09779939974178786,8,0.1009,False,0.1009,50,widely_held_block,delegate_block
EP7.3-2022-community,287,0.09829265934408271,0.2676731676508713,0.41406130310296707,0.09829265934408271,9,0.1032,False,0.1032,50,widely_held_block,delegate_block
EP7.4-2022-public,301,0.10288655268538273,0.25727751531939996,0.3907108446710403,0.10288655268538273,7,0.1125,False,0.1125,50,widely_held_block,delegate_block
EP8-execute-and,95,0.16069513266271457,0.390191369291034,0.584652798540235,0.16069513266271457,9,0.1641,False,0.1641,50,widely_held_block,delegate_block
EP8-reimburse-true-names-for-expen,912,0.08420316796512943,0.20580677164536726,0.30764276084386866,0.08420316796512943,5,0.0918,False,0.0918,50,widely_held_block,delegate_block
EP9-execute,361,0.14118106795928692,0.36796091625484695,0.5587862340248326,0.14118106795928692,9,0.1459,False,0.1459,50,widely_held_block,delegate_block
case-2024-ecosystem-working-group-s,320,0.12728367568236812,0.30342698743781904,0.45230605863565887,0.12728367568236812,10,0.1384,False,0.1384,50,widely_held_block,delegate_block
case-2024-meta-governance-working-g,321,0.10381940055149624,0.2973399749232074,0.44637947449968485,0.10381940055149624,10,0.1107,False,0.1107,50,widely_held_block,delegate_block
