onchain_id,snapshot_id,title,status,snapshot_url,discourse_url,onchain_in_db,snapshot_in_db
83558494563463316177076768398348085020294312678713085260352382286714788322618,,[EP6.7] [Executable] Revoke root controller role from legacy ENS multisig,executed,,https://discuss.ens.domains/t/ep-6-8-executable-revoke-root-controller-role-from-legacy-ens-multisig/20644,True,False
75480516867756766284972947192514005324792532674550120092693062891336419998702,,[EP6.12] [Executable] Set resolver for .ceo TLD,executed,,https://discuss.ens.domains/t/executable-set-resolver-for-ceo-tld/20820/1,True,False
18742211083269328003498907723174230327570776601682376043962489402709315500668,,[EP 6.11] [Executable] Collective Working Group Funding Request (April 2025),executed,,https://discuss.ens.domains/t/ep-6-11-executable-collective-working-group-funding-request-april-2025/20788/1,True,False
6325634497264265012626716784077918930541180346289202027480596910133312093648,,[EP 6.13] [Executable] - Service Provider Program Season 2 Implementation,defeated,,,True,False
20404686300257550242704646761273386459664655640264490428281621095220078268383,,[EP 6.13] [Corrected] [Executable] - SPP Season 2 Implementation,executed,,https://discuss.ens.domains/t/ep-6-13-executable-service-provider-program-season-2-implementation/20971,True,False
43003012871521685709452092060115706577030630127946926655190871046443785691900,,[Executable] Enable L2 Reverse Registrars and new .eth registrar controller,defeated,,https://discuss.ens.domains/t/executable-enable-l2-reverse-registrars-and-new-eth-registrar-controller/20969,True,False
42524979896803285837776370636134389407867034021879791462477783237030656381157,,[Executable] Enable L2 Reverse Registrars and new .eth registrar controller,executed,,,True,False
51903780073989583830128732176342966426696684927524697157008519276797273489808,,[Executable] Transfer .locker TLD to Orange Domains LLC,executed,,https://discuss.ens.domains/t/executable-transfer-locker-tld-to-orange-domains-llc/21077,True,False
8152144177729545927999296682104713773450687318641051882785083122565237294645,,[Executable] Reactivate SPP2 streams,executed,,https://discuss.ens.domains/t/executable-reactivate-spp2-streams,True,False
48262157524430528705514027771464261215955420389394621161356313649894506972547,,[Executable] Adopt The SEAL Safe Harbor Agreement,executed,,https://discuss.ens.domains/t/temp-check-adopt-the-seal-safe-harbor-agreement/21226/1,True,False
28621945985399756809323229823216459792275185227390789031203077499124321674250,,# [EP 6.20][Executable] Reimbursement for eth.limo’s Legal Fees,executed,,,True,False
108835189906614532703236602621229289879643217303874617456878894788222576090451,,[Executable] Set Primary Names for Core DAO Addresses,executed,,https://discuss.ens.domains/t/temp-check-set-primary-names-for-core-dao-addresses/21432?u=limes,True,False
89533866253315759669817396047764505253840458037760720608881002428435364696940,,[EP 6.22] [Executable] ENS Contract Naming Season,executed,,https://discuss.ens.domains/t/temp-check-ens-contract-naming-season/21402,True,False
12950686153984121876325788121804936905339482144562527684056466889156345680789,,[EP 6.23] [Executable] Endowment permissions to karpatkey - Update #6,executed,,https://discuss.ens.domains/t/executable-endowment-permissions-to-karpatkey-update-6/21396,True,False
77525093718307720477107269225240955392442633055266271196124066559357053541713,,[Executable] Collective Working Group Funding Request (Oct 2025),executed,,,False,False
14510804444537789574755459676993085422296887570909724875059792580501615462793,,Assign Ownership of the .kred TLD to Verified Multisig Controller,executed,,https://discuss.ens.domains/t/draft-executable-assign-ownership-of-the-kred-tld-to-verified-multisig-controller/21720,False,False
32193910699583510191805100765941306153785098144960716714178124679398515702376,,[EP 6.27] [Executable] Endowment permissions to karpatkey - Update #7,executed,,https://discuss.ens.domains/t/ep-6-28-executable-endowment-permissions-to-karpatkey-update-7/21641,True,False
55749099144243971799440687308450608384225109120486751685653209891316805274409,,# [EP 6.28] ENS Retro: Executable Proposal,executed,,,False,False
107313977323541760723614084561841045035159333942448750767795024713131429640046,,[EP 6.32] [Executable] Transfer $2.5M USDC from Endowment to wallet.ensdao.eth ,executed,,https://discuss.ens.domains/t/ep-6-32-executable-transfer-2-5m-usdc-from-endowment-to-wallet-ensdao-eth/21882,False,False
7432320732701654700329828389963546575346476886035742386260284098817526767149,,Enable Root and Registrar Security Controllers,executed,,https://discuss.ens.domains/t/executable-enable-root-and-registrar-security-controllers/21872,False,False
69304512515872868228453463730257567312488838925636819022683533220991373699419,,[EP 6.34] Register on.eth to the ENS DAO wallet and set the resolver,queued,,https://discuss.ens.domains/t/executable-register-on-eth-to-the-ens-dao-wallet-and-set-the-resolver/21894,False,False
